experiment,augmentation,batch_mix,best_epoch,best_val_accuracy,final_val_accuracy,final_val_loss
no_aug,none,none,17,84.10626893498019,83.98974597995806,0.5426533736220831
basic,basic,none,20,84.52575157305989,84.52575157305989,0.5247003007840788
morejitter,morejitter,none,18,84.60731764157539,84.38592402703333,0.5267207938748011
rotationaug,rotationaug,none,18,84.63062223257982,84.58401305057096,0.5211709122353849
basic_mixup,basic,mixup,17,83.45374038685621,83.39547890934514,0.6721720296557037
basic_cutmix,basic,cutmix,20,83.83826613842928,83.83826613842928,0.6769218019354568
morejitter_mixup,morejitter,mixup,17,83.51200186436728,83.37217431834071,0.6747557912720747
morejitter_cutmix,morejitter,cutmix,18,83.69843859240271,83.55861104637614,0.679097586163161
rotationaug_mixup,rotationaug,mixup,20,83.45374038685621,83.45374038685621,0.6725994008830921
rotationaug_cutmix,rotationaug,cutmix,19,83.45374038685621,83.33721743183408,0.679291942213499
no_aug_mixup,none,mixup,17,83.32556513633186,83.2673036588208,0.6697941522127653
no_aug_cutmix,none,cutmix,20,83.7800046609182,83.7800046609182,0.6817486062663275
