experiment,augmentation,batch_mix,mix_alpha,best_epoch,best_val_accuracy,final_val_accuracy,final_val_loss
no_aug,none,none,,17,84.10626893498019,83.98974597995806,0.5426533736220831
basic,basic,none,,20,84.52575157305989,84.52575157305989,0.5247003007840788
basic_mixup,basic,mixup,1.0,17,83.45374038685621,83.39547890934514,0.6721720296557037
basic_cutmix,basic,cutmix,1.0,20,83.83826613842928,83.83826613842928,0.6769218019354568
morejitter,morejitter,none,,18,84.60731764157539,84.38592402703333,0.5267207938748011
morejitter_mixup,morejitter,mixup,1.0,17,83.51200186436728,83.37217431834071,0.6747557912720747
morejitter_cutmix,morejitter,cutmix,1.0,18,83.69843859240271,83.55861104637614,0.679097586163161
rotationaug,rotationaug,none,,18,84.63062223257982,84.58401305057096,0.5211709122353849
rotationaug_mixup,rotationaug,mixup,1.0,20,83.45374038685621,83.45374038685621,0.6725994008830921
rotationaug_cutmix,rotationaug,cutmix,1.0,19,83.45374038685621,83.33721743183408,0.679291942213499
rotationaug_mixup_alpha0.2,rotationaug,mixup,0.2,17,84.70053600559311,84.52575157305989,0.567809359756724
rotationaug_cutmix_alpha0.2,rotationaug,cutmix,0.2,20,84.24609648100676,84.24609648100676,0.6303576403732651
no_aug_mixup_alpha0.2,none,mixup,0.2,20,84.39757632253554,84.39757632253554,0.5741856502392052
no_aug_cutmix_alpha0.2,none,cutmix,0.2,20,84.43253320904218,84.43253320904218,0.6398836794890771
basic_mixup_alpha0.2,basic,mixup,0.2,18,84.53740386856211,84.45583780004661,0.5674116345614272
basic_cutmix_alpha0.2,basic,cutmix,0.2,20,84.39757632253554,84.39757632253554,0.6291296187188347
morejitter_mixup_alpha0.2,morejitter,mixup,0.2,17,84.66557911908646,84.38592402703333,0.5688643259161476
morejitter_cutmix_alpha0.2,morejitter,cutmix,0.2,20,84.4441855045444,84.4441855045444,0.6360565882216964
