experiment,epoch,seed,mix_alpha,augmentation,batch_mix,train_loss,train_accuracy,val_loss,val_accuracy
rotationaug_mixup_alpha0.2,1,42,0.2,rotationaug,mixup,4.539501560034404,10.950076175962666,4.0142943697413545,35.48123980424143
rotationaug_mixup_alpha0.2,2,42,0.2,rotationaug,mixup,3.8540461210434307,36.836507356659446,2.951876802062188,58.73922162666045
rotationaug_mixup_alpha0.2,3,42,0.2,rotationaug,mixup,3.2111547957024666,48.93011741507574,2.1339261886874046,67.24539734327662
rotationaug_mixup_alpha0.2,4,42,0.2,rotationaug,mixup,2.6568071601748127,57.080609527955446,1.618194824580795,73.02493591237474
rotationaug_mixup_alpha0.2,5,42,0.2,rotationaug,mixup,2.2995015270095167,61.77782434905319,1.2942345274881004,75.83313912840829
rotationaug_mixup_alpha0.2,6,42,0.2,rotationaug,mixup,2.075697602321951,63.599318258456634,1.082395272373292,78.30342577487765
rotationaug_mixup_alpha0.2,7,42,0.2,rotationaug,mixup,1.951660329152155,65.10896503278099,0.9470732389727663,80.14448846422745
rotationaug_mixup_alpha0.2,8,42,0.2,rotationaug,mixup,1.7535604572749213,68.1662434775317,0.8554144104414402,80.80866930785365
rotationaug_mixup_alpha0.2,9,42,0.2,rotationaug,mixup,1.7009979348755773,68.7352193706375,0.7755236526770182,81.83407131204848
rotationaug_mixup_alpha0.2,10,42,0.2,rotationaug,mixup,1.6479102656689857,69.45622036546935,0.7399046932225793,82.1836401771149
rotationaug_mixup_alpha0.2,11,42,0.2,rotationaug,mixup,1.5853736886661796,71.09119433819892,0.7080368138476425,82.49825215567466
rotationaug_mixup_alpha0.2,12,42,0.2,rotationaug,mixup,1.5659746940502783,71.02679548615846,0.6813305575540365,82.91773479375436
rotationaug_mixup_alpha0.2,13,42,0.2,rotationaug,mixup,1.4837463171626353,72.75469710602295,0.6606711410081517,82.82451642973666
rotationaug_mixup_alpha0.2,14,42,0.2,rotationaug,mixup,1.431162132861555,73.48280074541326,0.6339983782049271,83.64017711489163
rotationaug_mixup_alpha0.2,15,42,0.2,rotationaug,mixup,1.4139502801623298,73.89440157355264,0.6104218664493797,84.09461663947798
rotationaug_mixup_alpha0.2,16,42,0.2,rotationaug,mixup,1.3778149974526992,74.96700202003282,0.6051368192758518,83.90817991144256
rotationaug_mixup_alpha0.2,17,42,0.2,rotationaug,mixup,1.391520882511282,74.50554701111282,0.5890232714648792,84.70053600559311
rotationaug_mixup_alpha0.2,18,42,0.2,rotationaug,mixup,1.2976273290513654,76.49188312009802,0.5877367863772327,84.51409927755768
rotationaug_mixup_alpha0.2,19,42,0.2,rotationaug,mixup,1.3291656041089683,75.6941996535957,0.5829094111349887,84.35096714052668
rotationaug_mixup_alpha0.2,20,42,0.2,rotationaug,mixup,1.2535753333979913,77.48900824561655,0.567809359756724,84.52575157305989
rotationaug_cutmix_alpha0.2,1,42,0.2,rotationaug,cutmix,4.647592357127423,5.7965619296455895,4.237618812951306,24.493125145653693
