experiment,epoch,seed,mix_alpha,augmentation,batch_mix,max_epochs,patience,train_loss,train_accuracy,val_loss,val_accuracy
rotationaug_mixup_alpha0.2_max40_patience10,1,42,0.2,rotationaug,mixup,40,10,4.539484137077096,10.931125799898895,4.014279732807509,35.504544395245865
rotationaug_mixup_alpha0.2_max40_patience10,2,42,0.2,rotationaug,mixup,40,10,3.854040900594613,36.85025288727371,2.9519805145330347,58.73922162666045
rotationaug_mixup_alpha0.2_max40_patience10,3,42,0.2,rotationaug,mixup,40,10,3.2111477142056737,48.95066268881449,2.1339526202011374,67.28035422978327
rotationaug_mixup_alpha0.2_max40_patience10,4,42,0.2,rotationaug,mixup,40,10,2.6567829774009883,57.04253871263216,1.6183602311510608,73.03658820787695
rotationaug_mixup_alpha0.2_max40_patience10,5,42,0.2,rotationaug,mixup,40,10,2.29948350786666,61.77414538792248,1.2942249634081988,75.85644371941272
rotationaug_mixup_alpha0.2_max40_patience10,6,42,0.2,rotationaug,mixup,40,10,2.075726359680228,63.60492015381866,1.0826132090823464,78.30342577487765
rotationaug_mixup_alpha0.2_max40_patience10,7,42,0.2,rotationaug,mixup,40,10,1.9516708617370155,65.13131416928769,0.9471903219975338,80.0978792822186
rotationaug_mixup_alpha0.2_max40_patience10,8,42,0.2,rotationaug,mixup,40,10,1.753588429290586,68.16009895402267,0.8553128607121416,80.75040783034258
rotationaug_mixup_alpha0.2_max40_patience10,9,42,0.2,rotationaug,mixup,40,10,1.7010448503979128,68.689217679794,0.7754909296575834,81.86902819855511
rotationaug_mixup_alpha0.2_max40_patience10,10,42,0.2,rotationaug,mixup,40,10,1.6479285854779793,69.45112483879535,0.7399241094599235,82.19529247261711
rotationaug_mixup_alpha0.2_max40_patience10,11,42,0.2,rotationaug,mixup,40,10,1.5853820662634395,71.06012758560969,0.7078913941552272,82.55651363318574
rotationaug_mixup_alpha0.2_max40_patience10,12,42,0.2,rotationaug,mixup,40,10,1.5659684452499463,71.03648697301867,0.6809061673575975,82.9410393847588
rotationaug_mixup_alpha0.2_max40_patience10,13,42,0.2,rotationaug,mixup,40,10,1.4837681834728325,72.74938610966878,0.6605606183142296,82.8594733162433
rotationaug_mixup_alpha0.2_max40_patience10,14,42,0.2,rotationaug,mixup,40,10,1.4311342080805098,73.51965289827663,0.6341323088832848,83.62852481938943
rotationaug_mixup_alpha0.2_max40_patience10,15,42,0.2,rotationaug,mixup,40,10,1.4139726655664873,73.8628852956742,0.6105244986398657,84.07131204847354
rotationaug_mixup_alpha0.2_max40_patience10,16,42,0.2,rotationaug,mixup,40,10,1.3779097253391197,74.9097361271046,0.6051417148438292,83.95478909345141
rotationaug_mixup_alpha0.2_max40_patience10,17,42,0.2,rotationaug,mixup,40,10,1.3914867625432843,74.5406684327681,0.589317309768904,84.64227452808203
rotationaug_mixup_alpha0.2_max40_patience10,18,42,0.2,rotationaug,mixup,40,10,1.2976208411568224,76.57902104073482,0.5874172376811269,84.51409927755768
rotationaug_mixup_alpha0.2_max40_patience10,19,42,0.2,rotationaug,mixup,40,10,1.3293875981557566,75.67032633800581,0.5830221125307796,84.3626194360289
rotationaug_mixup_alpha0.2_max40_patience10,20,42,0.2,rotationaug,mixup,40,10,1.2535926931241013,77.49870318676925,0.5681913767181002,84.53740386856211
rotationaug_mixup_alpha0.2_max40_patience10,21,42,0.2,rotationaug,mixup,40,10,1.2516611465256817,77.56694940507577,0.5662905481472296,84.67723141458868
rotationaug_mixup_alpha0.2_max40_patience10,22,42,0.2,rotationaug,mixup,40,10,1.2300302159450396,78.39017799757481,0.5601713051123098,84.49079468655326
rotationaug_mixup_alpha0.2_max40_patience10,23,42,0.2,rotationaug,mixup,40,10,1.2442632259418813,77.7386074104838,0.5682828719661498,84.75879748310417
rotationaug_mixup_alpha0.2_max40_patience10,24,42,0.2,rotationaug,mixup,40,10,1.211965582076262,78.69225375445632,0.5596333209228138,84.47914239105104
rotationaug_mixup_alpha0.2_max40_patience10,25,42,0.2,rotationaug,mixup,40,10,1.1769192991981627,79.44738021956076,0.5356741238657174,85.03845257515731
rotationaug_mixup_alpha0.2_max40_patience10,26,42,0.2,rotationaug,mixup,40,10,1.089879158244051,81.66373352802661,0.549261893829636,84.68888371009089
rotationaug_mixup_alpha0.2_max40_patience10,27,42,0.2,rotationaug,mixup,40,10,1.21257352210975,78.92640696265349,0.5672259908251983,84.58401305057096
rotationaug_mixup_alpha0.2_max40_patience10,28,42,0.2,rotationaug,mixup,40,10,1.159201755784396,80.17355943276867,0.5424160320521012,84.73549289209974
rotationaug_mixup_alpha0.2_max40_patience10,29,42,0.2,rotationaug,mixup,40,10,1.1357134443896078,80.80572978116744,0.5548624764217194,84.93358191563738
rotationaug_mixup_alpha0.2_max40_patience10,30,42,0.2,rotationaug,mixup,40,10,1.1306402520410894,81.14025672602439,0.5251397207202235,85.03845257515731
rotationaug_mixup_alpha0.2_max40_patience10,31,42,0.2,rotationaug,mixup,40,10,1.0104504748868395,83.32329747888049,0.5419634672290266,84.66557911908646
rotationaug_mixup_alpha0.2_max40_patience10,32,42,0.2,rotationaug,mixup,40,10,1.0984823750066526,81.7110231994638,0.5439795949289055,84.85201584712188
rotationaug_mixup_alpha0.2_max40_patience10,33,42,0.2,rotationaug,mixup,40,10,1.0853488592132565,82.29653325863865,0.5399074309829565,85.2015847121883
rotationaug_mixup_alpha0.2_max40_patience10,34,42,0.2,rotationaug,mixup,40,10,1.0508744035647062,82.43902716912346,0.5417306947210846,84.73549289209974
rotationaug_mixup_alpha0.2_max40_patience10,35,42,0.2,rotationaug,mixup,40,10,1.074901286403941,82.1444467976264,0.5302135599531846,85.29480307620601
rotationaug_mixup_alpha0.2_max40_patience10,36,42,0.2,rotationaug,mixup,40,10,1.0413164790222338,83.21252689907838,0.5334055402206114,84.98019109764624
rotationaug_mixup_alpha0.2_max40_patience10,37,42,0.2,rotationaug,mixup,40,10,0.9914054220607825,84.14576488293076,0.5454393362240535,84.74714518760196
rotationaug_mixup_alpha0.2_max40_patience10,38,42,0.2,rotationaug,mixup,40,10,1.0265575143064454,83.37406296602265,0.530205698015806,85.15497553017944
rotationaug_mixup_alpha0.2_max40_patience10,39,42,0.2,rotationaug,mixup,40,10,1.0502787799134932,83.28946560772172,0.542885221966328,85.18993241668609
rotationaug_mixup_alpha0.2_max40_patience10,40,42,0.2,rotationaug,mixup,40,10,1.024037088055594,83.05828111003119,0.536112304341957,85.07340946166394
rotationaug_cutmix_alpha0.2_max40_patience10,1,42,0.2,rotationaug,cutmix,40,10,4.647583828903989,5.802710647884344,4.23749145509146,24.51642973665812
rotationaug_cutmix_alpha0.2_max40_patience10,2,42,0.2,rotationaug,cutmix,40,10,4.2289305324653,23.039716500634878,3.4137696803685698,52.295502213936146
rotationaug_cutmix_alpha0.2_max40_patience10,3,42,0.2,rotationaug,cutmix,40,10,3.772460487290688,34.677521721307265,2.626620487521173,63.43509671405267
rotationaug_cutmix_alpha0.2_max40_patience10,4,42,0.2,rotationaug,cutmix,40,10,3.376650021739514,41.869227420662796,2.064468517305689,69.2379398741552
rotationaug_cutmix_alpha0.2_max40_patience10,5,42,0.2,rotationaug,cutmix,40,10,3.065637757647413,45.84881769596592,1.6362074356594722,71.99953390817991
rotationaug_cutmix_alpha0.2_max40_patience10,6,42,0.2,rotationaug,cutmix,40,10,2.843910947643254,48.171942347534056,1.3561806370678051,74.83104171521789
