experiment,augmentation,condition,best_epoch,best_val_accuracy,final_val_accuracy,final_val_loss
no_aug,none,no_mix,17,84.10626893498019,83.98974597995806,0.5426533736220831
basic,basic,no_mix,20,84.52575157305989,84.52575157305989,0.5247003007840788
morejitter,morejitter,no_mix,18,84.60731764157539,84.38592402703333,0.5267207938748011
rotationaug,rotationaug,no_mix,18,84.63062223257982,84.58401305057096,0.5211709122353849
basic_mixup,basic,mixup_alpha1.0_p1.0,17,83.45374038685621,83.39547890934514,0.6721720296557037
basic_cutmix,basic,cutmix_alpha1.0_p1.0,20,83.83826613842928,83.83826613842928,0.6769218019354568
morejitter_mixup,morejitter,mixup_alpha1.0_p1.0,17,83.51200186436728,83.37217431834071,0.6747557912720747
morejitter_cutmix,morejitter,cutmix_alpha1.0_p1.0,18,83.69843859240271,83.55861104637614,0.679097586163161
rotationaug_mixup,rotationaug,mixup_alpha1.0_p1.0,20,83.45374038685621,83.45374038685621,0.6725994008830921
rotationaug_cutmix,rotationaug,cutmix_alpha1.0_p1.0,19,83.45374038685621,83.33721743183408,0.679291942213499
no_aug_mixup,none,mixup_alpha1.0_p1.0,17,83.32556513633186,83.2673036588208,0.6697941522127653
no_aug_cutmix,none,cutmix_alpha1.0_p1.0,20,83.7800046609182,83.7800046609182,0.6817486062663275
rotationaug_mixup_alpha0.2,rotationaug,mixup_alpha0.2_p1.0,17,84.70053600559311,84.52575157305989,0.567809359756724
rotationaug_cutmix_alpha0.2,rotationaug,cutmix_alpha0.2_p1.0,20,84.24609648100676,84.24609648100676,0.6303576403732651
no_aug_mixup_alpha0.2,none,mixup_alpha0.2_p1.0,20,84.39757632253554,84.39757632253554,0.5741856502392052
no_aug_cutmix_alpha0.2,none,cutmix_alpha0.2_p1.0,20,84.43253320904218,84.43253320904218,0.6398836794890771
basic_mixup_alpha0.2,basic,mixup_alpha0.2_p1.0,18,84.53740386856211,84.45583780004661,0.5674116345614272
basic_cutmix_alpha0.2,basic,cutmix_alpha0.2_p1.0,20,84.39757632253554,84.39757632253554,0.6291296187188347
morejitter_mixup_alpha0.2,morejitter,mixup_alpha0.2_p1.0,17,84.66557911908646,84.38592402703333,0.5688643259161476
morejitter_cutmix_alpha0.2,morejitter,cutmix_alpha0.2_p1.0,20,84.4441855045444,84.4441855045444,0.6360565882216964
rotationaug_mixup_alpha0.2_p0.5,rotationaug,mixup_alpha0.2_p0.5,18,84.67723141458868,84.65392682358424,0.5444140469269496
rotationaug_cutmix_alpha0.2_p0.5,rotationaug,cutmix_alpha0.2_p0.5,17,84.61896993707761,84.56070845956654,0.5599354065275781
no_aug_mixup_alpha0.2_p0.5,none,mixup_alpha0.2_p0.5,20,84.30435795851783,84.30435795851783,0.5562516454701878
no_aug_cutmix_alpha0.2_p0.5,none,cutmix_alpha0.2_p0.5,18,84.49079468655326,84.42088091353996,0.5678653967419417
basic_mixup_alpha0.2_p0.5,basic,mixup_alpha0.2_p0.5,20,84.60731764157539,84.60731764157539,0.5458125162099631
basic_cutmix_alpha0.2_p0.5,basic,cutmix_alpha0.2_p0.5,18,84.80540666511303,84.68888371009089,0.5577629035904368
morejitter_mixup_alpha0.2_p0.5,morejitter,mixup_alpha0.2_p0.5,20,84.54905616406433,84.54905616406433,0.5467012483071847
morejitter_cutmix_alpha0.2_p0.5,morejitter,cutmix_alpha0.2_p0.5,20,84.71218830109531,84.71218830109531,0.5598224410086182
