experiment,epoch,seed,mix_alpha,mix_probability,augmentation,batch_mix,train_loss,train_accuracy,mixed_batches,total_batches,actual_mix_ratio,val_loss,val_accuracy
rotationaug_mixup_alpha0.2_p0.5,1,42,0.2,0.5,rotationaug,mixup,4.491268977500495,12.994365531479277,372,750,0.496,3.9318200891264055,38.67396877184805
rotationaug_mixup_alpha0.2_p0.5,2,42,0.2,0.5,rotationaug,mixup,3.6916350055722558,42.10898404036064,362,750,0.4826666666666667,2.8511925789893744,60.47541365649033
rotationaug_mixup_alpha0.2_p0.5,3,42,0.2,0.5,rotationaug,mixup,2.9278386500025215,55.56609308445206,362,750,0.4826666666666667,2.02199223696616,68.96993707760429
rotationaug_mixup_alpha0.2_p0.5,4,42,0.2,0.5,rotationaug,mixup,2.3714882308472234,62.79409422174458,375,750,0.5,1.494940174817761,74.57469121416919
rotationaug_mixup_alpha0.2_p0.5,5,42,0.2,0.5,rotationaug,mixup,2.015548986779747,66.3616868925054,363,750,0.484,1.2074043387106543,76.7653227685854
rotationaug_mixup_alpha0.2_p0.5,6,42,0.2,0.5,rotationaug,mixup,1.7816568420894703,68.48901065672617,390,750,0.52,1.0012323662024005,78.92099743649499
rotationaug_mixup_alpha0.2_p0.5,7,42,0.2,0.5,rotationaug,mixup,1.56131381186908,71.8917937024958,370,750,0.49333333333333335,0.8797063812373874,80.49405732929387
rotationaug_mixup_alpha0.2_p0.5,8,42,0.2,0.5,rotationaug,mixup,1.455079670150313,72.37203337245043,379,750,0.5053333333333333,0.7932778872745739,81.16989046842228
rotationaug_mixup_alpha0.2_p0.5,9,42,0.2,0.5,rotationaug,mixup,1.3357646687862614,74.74137108839422,374,750,0.49866666666666665,0.7224453150100903,82.32346772314146
rotationaug_mixup_alpha0.2_p0.5,10,42,0.2,0.5,rotationaug,mixup,1.2467438154944699,75.9485326567024,391,750,0.5213333333333333,0.6887050911391762,82.66138429270566
rotationaug_mixup_alpha0.2_p0.5,11,42,0.2,0.5,rotationaug,mixup,1.159522133383041,77.49411139054124,363,750,0.484,0.6587806907296875,82.89443020274994
rotationaug_mixup_alpha0.2_p0.5,12,42,0.2,0.5,rotationaug,mixup,1.1495558124002685,77.83808602351819,366,750,0.488,0.6362648484340722,83.442088091354
rotationaug_mixup_alpha0.2_p0.5,13,42,0.2,0.5,rotationaug,mixup,1.1192056857400943,78.26849209605577,392,750,0.5226666666666666,0.6213457443669136,83.32556513633186
rotationaug_mixup_alpha0.2_p0.5,14,42,0.2,0.5,rotationaug,mixup,1.1011598258142492,78.93982617825357,382,750,0.5093333333333333,0.5931248048737565,83.90817991144256
rotationaug_mixup_alpha0.2_p0.5,15,42,0.2,0.5,rotationaug,mixup,1.0153285116727282,80.58502630414236,389,750,0.5186666666666667,0.578324829947279,84.29270566301561
rotationaug_mixup_alpha0.2_p0.5,16,42,0.2,0.5,rotationaug,mixup,0.9564574089402417,81.36415186776898,381,750,0.508,0.5676152709549441,84.23444418550454
rotationaug_mixup_alpha0.2_p0.5,17,42,0.2,0.5,rotationaug,mixup,0.9380265714268144,81.92368127314761,348,750,0.464,0.558625511073255,84.65392682358424
rotationaug_mixup_alpha0.2_p0.5,18,42,0.2,0.5,rotationaug,mixup,0.9260431202794536,82.49331332445435,378,750,0.504,0.5520696041120624,84.67723141458868
rotationaug_mixup_alpha0.2_p0.5,19,42,0.2,0.5,rotationaug,mixup,0.9479688546233901,81.88772882156117,389,750,0.5186666666666667,0.5538139219704665,84.50244698205546
rotationaug_mixup_alpha0.2_p0.5,20,42,0.2,0.5,rotationaug,mixup,0.8890054291000882,83.2482675756468,364,750,0.48533333333333334,0.5444140469269496,84.65392682358424
