epoch,train_loss,train_accuracy,mixed_batches,total_batches,actual_mix_ratio,val_loss,val_accuracy
1,4.552073443565871,10.531782434880725,372,750,0.496,4.033956916480597,35.795851782801215
2,3.8916705399081,35.682524368697926,362,750,0.4826666666666667,3.015460268430459,57.28268468888371
3,3.2306453620101796,48.810466869903486,362,750,0.4826666666666667,2.213142890859056,67.28035422978327
4,2.7260347526259054,55.79381713225587,375,750,0.5,1.635919670685275,71.91796783966441
5,2.3315614604576367,59.995687159860395,363,750,0.484,1.3375974155978094,75.97296667443486
6,2.1469951015370032,61.799016221028346,390,750,0.52,1.1099296807964985,78.05872756933115
7,1.9289084669152265,64.48135452023679,370,750,0.49333333333333335,0.944409825492922,80.06292239571195
8,1.8297511102517738,66.00823527587286,379,750,0.5053333333333333,0.8692236217661244,80.80866930785365
9,1.6714541806759766,68.07416573441448,374,750,0.49866666666666665,0.7939723371848224,81.4378932649732
10,1.673277651593971,67.93744911061927,391,750,0.5213333333333333,0.74234342008336,82.21859706362153
11,1.5259443565216992,70.33219380499428,363,750,0.484,0.7093598334224206,82.74295036122116
12,1.5034460556280576,70.64028950483032,366,750,0.488,0.6775101129199153,83.19738988580751
13,1.4880724348193666,71.2511383168453,392,750,0.5226666666666666,0.647637895605998,83.442088091354
14,1.4228635385128274,72.36658268113776,382,750,0.5093333333333333,0.6342285050153454,83.90817991144256
15,1.3952731526798159,73.02692339268488,389,750,0.5186666666666667,0.6097217190379559,84.18783500349569
16,1.3500143235912918,73.63274256779827,381,750,0.508,0.5953292531848815,84.25774877650898
17,1.2641321450476846,75.4272732942204,348,750,0.464,0.5870633136903842,84.29270566301561
18,1.2830812516342025,74.65468492064792,378,750,0.504,0.5788227001344427,84.82871125611746
19,1.2764385734961259,75.18493064107625,389,750,0.5186666666666667,0.5686951670174942,84.52575157305989
20,1.2024091536362065,76.80618398931706,364,750,0.48533333333333334,0.5571297839565228,84.67723141458868
