dataset_index,image_path,label,class_name,mask_pixels,mask_ratio,detected
0,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_10074.jpg,0,n02085620-Chihuahua,24916,0.4965720663265306,True
1,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_10131.jpg,0,n02085620-Chihuahua,18679,0.37226961096938777,True
2,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_10621.jpg,0,n02085620-Chihuahua,5960,0.11878188775510204,True
3,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1073.jpg,0,n02085620-Chihuahua,26242,0.5229990433673469,True
4,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_10976.jpg,0,n02085620-Chihuahua,10913,0.21749441964285715,True
5,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11140.jpg,0,n02085620-Chihuahua,12952,0.2581313775510204,True
6,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11238.jpg,0,n02085620-Chihuahua,8679,0.17297114158163265,True
7,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11258.jpg,0,n02085620-Chihuahua,8185,0.16312579719387754,True
8,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11337.jpg,0,n02085620-Chihuahua,6565,0.13083944515306123,True
9,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11477.jpg,0,n02085620-Chihuahua,3222,0.06421396683673469,True
10,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1152.jpg,0,n02085620-Chihuahua,8355,0.16651387117346939,True
11,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11696.jpg,0,n02085620-Chihuahua,14614,0.2912547831632653,True
12,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11818.jpg,0,n02085620-Chihuahua,4928,0.09821428571428571,True
13,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_11948.jpg,0,n02085620-Chihuahua,23490,0.46815210459183676,True
14,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1205.jpg,0,n02085620-Chihuahua,8721,0.17380819515306123,True
15,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_12101.jpg,0,n02085620-Chihuahua,30184,0.6015625,True
16,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_12334.jpg,0,n02085620-Chihuahua,3436,0.06847895408163265,True
17,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1235.jpg,0,n02085620-Chihuahua,1769,0.035255899234693876,True
18,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1271.jpg,0,n02085620-Chihuahua,22093,0.4403101084183674,True
19,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_12718.jpg,0,n02085620-Chihuahua,14940,0.29775191326530615,True
20,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1298.jpg,0,n02085620-Chihuahua,12233,0.2438018176020408,True
21,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_13151.jpg,0,n02085620-Chihuahua,9694,0.1931999362244898,True
22,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1321.jpg,0,n02085620-Chihuahua,6087,0.12131297831632654,True
23,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_13383.jpg,0,n02085620-Chihuahua,0,0.0,False
24,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1346.jpg,0,n02085620-Chihuahua,20911,0.4167530293367347,True
25,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_13964.jpg,0,n02085620-Chihuahua,10697,0.21318957270408162,True
26,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_14252.jpg,0,n02085620-Chihuahua,3609,0.07192681760204081,True
27,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_14413.jpg,0,n02085620-Chihuahua,11029,0.2198062818877551,True
28,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_14516.jpg,0,n02085620-Chihuahua,10218,0.20364317602040816,True
29,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1455.jpg,0,n02085620-Chihuahua,17448,0.3477359693877551,True
30,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1492.jpg,0,n02085620-Chihuahua,4934,0.09833386479591837,True
31,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1502.jpg,0,n02085620-Chihuahua,20194,0.4024633290816326,True
32,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1558.jpg,0,n02085620-Chihuahua,35750,0.7124920280612245,True
33,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1569.jpg,0,n02085620-Chihuahua,24379,0.48586973852040816,True
34,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1617.jpg,0,n02085620-Chihuahua,31666,0.6310985331632653,True
35,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1620.jpg,0,n02085620-Chihuahua,27806,0.5541693239795918,True
36,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1765.jpg,0,n02085620-Chihuahua,12373,0.24659199617346939,True
37,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1816.jpg,0,n02085620-Chihuahua,4048,0.08067602040816327,True
38,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1862.jpg,0,n02085620-Chihuahua,1470,0.029296875,True
39,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_1916.jpg,0,n02085620-Chihuahua,10238,0.2040417729591837,True
40,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_199.jpg,0,n02085620-Chihuahua,18870,0.37607621173469385,True
41,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2053.jpg,0,n02085620-Chihuahua,13100,0.26108099489795916,True
42,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2188.jpg,0,n02085620-Chihuahua,18685,0.3723891900510204,True
43,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2204.jpg,0,n02085620-Chihuahua,4369,0.08707350127551021,True
44,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2208.jpg,0,n02085620-Chihuahua,874,0.017418686224489797,True
45,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_242.jpg,0,n02085620-Chihuahua,13001,0.2591079400510204,True
46,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2479.jpg,0,n02085620-Chihuahua,10982,0.21886957908163265,True
47,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2507.jpg,0,n02085620-Chihuahua,7759,0.1546356823979592,True
48,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2517.jpg,0,n02085620-Chihuahua,5289,0.10540896045918367,True
49,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2590.jpg,0,n02085620-Chihuahua,2970,0.05919164540816327,True
50,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2614.jpg,0,n02085620-Chihuahua,10344,0.20615433673469388,True
51,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2650.jpg,0,n02085620-Chihuahua,17222,0.34323182397959184,True
52,/home/thkim0/datasets/stanfordimagenetdogs/Images/n02085620-Chihuahua/n02085620_2693.jpg,0,n02085620-Chihuahua,2493,0.049685108418367346,True
