epoch,train_loss,train_accuracy,val_loss,val_accuracy,total_batches,requested_mix_batches,applied_mix_batches,mask_failure_batches,requested_mix_ratio,actual_mix_ratio,mean_pasted_mask_ratio
1,4.581429673703755,9.009159563143744,4.092108768728946,31.8573759030529,750,372,275,97,0.496,0.36666666666666664,0.3191783873261837
2,3.999181601182086,32.143332985942216,3.1513655241817564,55.67466790957819,750,362,259,103,0.4826666666666667,0.3453333333333333,0.3200648123808349
3,3.4103987322268554,45.13406980820627,2.41770145904765,65.99860172453974,750,362,259,103,0.4826666666666667,0.3453333333333333,0.3223130517625279
4,2.949087332598188,51.419693678692,1.785368914149686,71.25378699603822,750,375,261,114,0.5,0.348,0.32279681970928065
5,2.5905054500647875,55.53989850455353,1.451766012432247,74.72617105569798,750,363,263,100,0.484,0.3506666666666667,0.3206255847850227
6,2.4199357163927955,56.615445816153226,1.2355276982119188,76.4274061990212,750,390,290,100,0.52,0.38666666666666666,0.32375013473579833
7,2.159296762905512,59.55635389500329,1.0513058448276773,78.71125611745514,750,370,264,106,0.49333333333333335,0.352,0.31756543571298773
8,2.0220961620815996,61.57499420322921,0.9519476278821118,79.24726171055698,750,379,267,112,0.5053333333333333,0.356,0.3187794542982651
9,1.8818271538877034,63.975116751118094,0.8569528958759117,80.41249126077837,750,374,254,120,0.49866666666666665,0.33866666666666667,0.32095666162959463
10,1.8483610659524745,63.35840259001322,0.7911179476311034,80.87858308086693,750,391,281,110,0.5213333333333333,0.37466666666666665,0.3202052069728485
11,1.6910919114974643,66.33697002157407,0.7554145794430415,81.70589606152411,750,363,248,115,0.484,0.33066666666666666,0.32113090451926957
12,1.6434561892695616,66.51583896873196,0.7079381491026104,82.38172920065253,750,366,257,109,0.488,0.3426666666666667,0.32374473372225054
13,1.6782494130621832,65.81719484224303,0.6897365073173147,82.34677231414588,750,392,288,104,0.5226666666666666,0.384,0.324107125899712
14,1.578892890682497,67.63598393114195,0.6585911200947207,82.9410393847588,750,382,277,105,0.5093333333333333,0.36933333333333335,0.3223211751834534
15,1.5476178370191367,68.04188076983613,0.6390134258110244,83.2673036588208,750,389,280,109,0.5186666666666667,0.37333333333333335,0.31977321819535326
16,1.4928284583240374,68.94452364410157,0.6184098056023339,83.81496154742484,750,381,274,107,0.508,0.36533333333333334,0.32045601199578194
17,1.40790991680605,70.51045260124951,0.616489019768412,83.55861104637614,750,348,253,95,0.464,0.3373333333333333,0.32099554472761194
18,1.4463332722158824,69.81414599823225,0.5940242185650436,83.93148450244698,750,378,283,95,0.504,0.37733333333333335,0.31969890976921417
19,1.4040431045734758,70.31556777227598,0.5907311970135793,83.59356793288278,750,389,278,111,0.5186666666666667,0.37066666666666664,0.32303283197416677
20,1.3114362106777904,72.32642955115526,0.5698104733994056,84.05965975297134,750,364,259,105,0.48533333333333334,0.3453333333333333,0.320292812574324
