epoch,train_loss,train_acc,val_loss,val_acc,best_val_loss,patience_counter
1,0.45308766901633746,0.7911258187539548,0.37248351068254665,0.8310986455055411,inf,0
2,0.3592454657528653,0.84652745711696,0.33547610417976803,0.8528526474209879,0.37248351068254665,0
3,0.3331122649641953,0.8606963897867391,0.3207595212761461,0.8597277329320017,0.33547610417976803,0
4,0.31831902253571304,0.8681528226702923,0.31799790336570655,0.8628061294294705,0.3207595212761461,0
5,0.3066690399560603,0.8745403861611342,0.31359907845691415,0.8640032836229307,0.31799790336570655,0
6,0.29362416510357875,0.8794400834573222,0.30980231692125865,0.8660213435490491,0.31359907845691415,0
7,0.2857765352313858,0.8841345578301096,0.3143112402409825,0.863798057189766,0.30980231692125865,0
8,0.27832183059558324,0.8878029175858944,0.30800324514913957,0.8679709946641128,0.30980231692125865,1
9,0.26929015622783736,0.8917791117267799,0.31156221426842984,0.8677657682309482,0.30800324514913957,0
10,0.26068200057233976,0.8966360542472595,0.3140797449220041,0.8673895197701464,0.30800324514913957,1
11,0.2527278186755144,0.9003471687787525,0.3152520673140274,0.8657477083048296,0.30800324514913957,2
