epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,best_val_loss,patience_counter,is_best
1,5.26135670873839,0.2546460363370869,4.758038572369291,0.28648728417531605,0.0003,4.758038572369291,0,True
2,4.520692760112636,0.3030074976833001,4.3072607102422955,0.3156574351911063,0.0003,4.3072607102422955,0,True
3,4.102112037504651,0.3292465811125776,4.053052091675916,0.3316936396281175,0.0003,4.053052091675916,0,True
4,3.769829868585418,0.35367723456235434,3.8686661786656376,0.34669683703084264,0.0003,3.8686661786656376,0,True
5,3.471303136355888,0.37787200584089187,3.7621386973350877,0.3553052289832259,0.0003,3.7621386973350877,0,True
6,3.1910483976104205,0.40564432338322426,3.6713920509570688,0.36986570908554284,0.0003,3.6713920509570688,0,True
7,2.9252065840622015,0.43666282890118224,3.5983524783185734,0.3803433518618722,0.0003,3.5983524783185734,0,True
8,2.6805306160748916,0.46859116565106285,3.560162478714406,0.3896896059816026,0.0003,3.560162478714406,0,True
9,2.444454989562236,0.5019741091235854,3.5408876250090313,0.3977077082001082,0.0003,3.5408876250090313,0,True
10,2.227733165471771,0.5362444188593413,3.558418759934238,0.406365290963648,0.0003,3.5408876250090313,1,False
11,2.0337767332647503,0.5675437364859173,3.5884935426972397,0.4139898666929018,0.0003,3.5408876250090313,2,False
